age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
35,Federal-gov,633891,1st-4th,2,Divorced,Handlers-cleaners,Not-in-family,Asian-Pac-Islander,Female,0,0,51,Canada,>50K
42,Private,316185,9th,5,Widowed,Farming-fishing,Not-in-family,White,Male,0,0,97,Germany,<=50K
52,Private,570694,9th,5,Widowed,Prof-specialty,Other-relative,Other,Male,0,0,45,United-States,>50K
70,Private,475598,1st-4th,2,Married-civ-spouse,Tech-support,Husband,Amer-Indian-Eskimo,Male,0,0,57,United-States,<=50K
78,Private,222753,Preschool,1,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,0,0,69,India,<=50K
20,Private,387357,Assoc-voc,11,Divorced,Farming-fishing,Other-relative,Black,Male,0,0,35,Mexico,<=50K
67,State-gov,692507,9th,5,Never-married,Handlers-cleaners,Not-in-family,Amer-Indian-Eskimo,Female,0,0,59,Mexico,<=50K
22,Private,767237,1st-4th,2,Widowed,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,52,Canada,<=50K
56,State-gov,221088,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Not-in-family,Black,Male,0,0,69,Mexico,>50K
72,Private,848787,Bachelors,13,Widowed,Sales,Own-child,Black,Male,0,0,46,Cuba,<=50K
47,Private,906457,9th,5,Widowed,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,16,Germany,<=50K
19,Self-emp-not-inc,1260721,Prof-school,15,Divorced,Sales,Wife,White,Female,0,0,36,Cuba,<=50K
17,Local-gov,215160,5th-6th,3,Widowed,Prof-specialty,Wife,White,Female,0,0,30,Germany,<=50K
77,Self-emp-not-inc,877566,Assoc-acdm,12,Married-civ-spouse,Farming-fishing,Wife,Amer-Indian-Eskimo,Female,0,0,88,Mexico,<=50K
76,Private,491756,9th,5,Married-civ-spouse,Tech-support,Own-child,White,Female,0,0,22,Philippines,<=50K
75,Private,904774,Bachelors,13,Divorced,Tech-support,Own-child,Asian-Pac-Islander,Female,0,0,75,Mexico,<=50K
67,Private,970897,5th-6th,3,Married-civ-spouse,Tech-support,Unmarried,Black,Male,0,0,67,Puerto-Rico,<=50K
37,Local-gov,123534,Bachelors,13,Separated,Craft-repair,Not-in-family,Black,Male,0,0,62,United-States,<=50K
31,Private,317973,Bachelors,13,Divorced,Craft-repair,Own-child,Amer-Indian-Eskimo,Male,0,0,43,Mexico,<=50K
26,Private,1082309,Assoc-acdm,12,Widowed,Farming-fishing,Other-relative,Other,Female,0,0,28,United-States,<=50K
85,Private,534966,10th,6,Married-civ-spouse,Farming-fishing,Wife,Black,Female,0,0,78,Philippines,<=50K
31,State-gov,382576,Some-college,10,Married-civ-spouse,Handlers-cleaners,Unmarried,Amer-Indian-Eskimo,Female,0,0,96,Germany,<=50K
47,Private,979484,Doctorate,16,Widowed,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,74,Cuba,<=50K
86,Private,1076570,Assoc-voc,11,Widowed,Farming-fishing,Not-in-family,Asian-Pac-Islander,Female,0,0,98,England,>50K
54,Private,1264328,1st-4th,2,Never-married,Exec-managerial,Husband,Black,Male,0,0,36,Philippines,<=50K
33,Private,198189,11th,7,Widowed,Farming-fishing,Own-child,Other,Male,0,0,48,England,<=50K
84,State-gov,1471251,12th,8,Separated,Craft-repair,Wife,White,Female,0,0,89,Germany,>50K
40,Self-emp-not-inc,147957,5th-6th,3,Widowed,Craft-repair,Wife,Amer-Indian-Eskimo,Female,0,0,74,India,<=50K
33,Private,354692,Prof-school,15,Married-civ-spouse,Sales,Wife,Amer-Indian-Eskimo,Female,0,0,67,United-States,>50K
19,Private,381283,1st-4th,2,Never-married,Sales,Husband,Asian-Pac-Islander,Male,0,0,81,England,<=50K
53,Local-gov,1393147,12th,8,Married-civ-spouse,Transport-moving,Wife,White,Female,0,0,65,Cuba,<=50K
46,Federal-gov,135769,Bachelors,13,Divorced,Sales,Husband,Other,Male,0,0,45,Canada,<=50K
20,Self-emp-inc,675059,HS-grad,9,Divorced,Craft-repair,Husband,Black,Male,0,0,93,Puerto-Rico,<=50K
27,Private,874467,HS-grad,9,Never-married,Prof-specialty,Wife,White,Female,0,0,58,Mexico,<=50K
26,Private,715556,Preschool,1,Separated,Sales,Unmarried,Amer-Indian-Eskimo,Male,0,0,88,Philippines,<=50K
56,Private,500872,Bachelors,13,Widowed,Adm-clerical,Not-in-family,Other,Male,0,0,51,El-Salvador,<=50K
29,Self-emp-inc,131460,Preschool,1,Never-married,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,92,England,<=50K
70,Local-gov,1068282,7th-8th,4,Widowed,Transport-moving,Not-in-family,Asian-Pac-Islander,Male,0,0,70,Canada,>50K
66,Private,675507,Masters,14,Never-married,Exec-managerial,Other-relative,Amer-Indian-Eskimo,Male,0,0,66,England,>50K
81,Private,841929,Prof-school,15,Married-civ-spouse,Sales,Unmarried,Other,Male,0,0,18,England,<=50K
25,Local-gov,593630,Doctorate,16,Widowed,Tech-support,Husband,Amer-Indian-Eskimo,Male,0,0,32,Philippines,<=50K
60,Self-emp-not-inc,700790,12th,8,Divorced,Farming-fishing,Unmarried,White,Female,0,0,34,Philippines,<=50K
73,Private,724587,7th-8th,4,Married-civ-spouse,Prof-specialty,Other-relative,Amer-Indian-Eskimo,Male,0,0,35,Puerto-Rico,<=50K
84,Federal-gov,363311,Some-college,10,Married-civ-spouse,Tech-support,Husband,Other,Male,0,0,90,United-States,<=50K
89,State-gov,870341,10th,6,Married-civ-spouse,Transport-moving,Not-in-family,Other,Male,1646,32,57,Puerto-Rico,<=50K
60,Federal-gov,1457621,7th-8th,4,Widowed,Handlers-cleaners,Other-relative,Amer-Indian-Eskimo,Male,0,0,66,India,>50K
38,Private,496695,11th,7,Separated,Sales,Unmarried,Black,Female,19544,1463,58,India,<=50K
51,Federal-gov,1465366,9th,5,Separated,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,0,0,36,India,<=50K
51,State-gov,720382,5th-6th,3,Married-civ-spouse,Handlers-cleaners,Husband,Other,Male,0,0,95,India,<=50K
73,Private,559869,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Own-child,Asian-Pac-Islander,Female,0,0,36,El-Salvador,<=50K
57,Private,1397150,10th,6,Divorced,Sales,Other-relative,Amer-Indian-Eskimo,Male,0,0,79,Germany,>50K
25,Self-emp-inc,36024,Doctorate,16,Separated,Handlers-cleaners,Not-in-family,Other,Female,0,0,55,Cuba,<=50K
34,Private,1280836,9th,5,Married-civ-spouse,Tech-support,Other-relative,Asian-Pac-Islander,Female,0,0,37,Philippines,>50K
67,Private,1473638,HS-grad,9,Never-married,Transport-moving,Not-in-family,Other,Female,0,0,36,Puerto-Rico,<=50K
84,State-gov,618459,5th-6th,3,Divorced,Prof-specialty,Wife,Other,Female,0,0,60,Puerto-Rico,>50K
84,Private,1396990,Assoc-acdm,12,Never-married,Sales,Own-child,White,Male,0,0,20,El-Salvador,<=50K
89,Private,643003,Some-college,10,Never-married,Sales,Wife,Asian-Pac-Islander,Female,0,0,14,El-Salvador,<=50K
45,Private,1359428,12th,8,Divorced,Craft-repair,Other-relative,White,Male,0,0,26,Germany,<=50K
64,Private,438123,Some-college,10,Married-civ-spouse,Exec-managerial,Unmarried,Other,Female,66665,1992,67,Puerto-Rico,<=50K
24,Private,1004215,10th,6,Separated,Transport-moving,Own-child,Asian-Pac-Islander,Female,0,0,20,El-Salvador,<=50K
77,Private,602141,Assoc-voc,11,Widowed,Prof-specialty,Other-relative,Black,Male,0,0,48,Philippines,<=50K
22,Private,669784,1st-4th,2,Married-civ-spouse,Tech-support,Unmarried,Black,Male,0,0,87,El-Salvador,>50K
30,Private,813799,10th,6,Married-civ-spouse,Farming-fishing,Unmarried,Other,Female,0,0,43,India,<=50K
18,Federal-gov,772948,Bachelors,13,Widowed,Exec-managerial,Unmarried,Other,Female,49019,3573,14,Canada,<=50K
86,Private,287042,Bachelors,13,Divorced,Sales,Unmarried,Amer-Indian-Eskimo,Female,0,0,35,Canada,<=50K
26,Private,866729,9th,5,Divorced,Adm-clerical,Own-child,Other,Male,0,0,99,Philippines,<=50K
79,Self-emp-inc,797992,Preschool,1,Widowed,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Female,0,0,18,Cuba,>50K
28,Private,429260,12th,8,Married-civ-spouse,Craft-repair,Husband,Other,Male,0,0,99,Germany,<=50K
88,Self-emp-not-inc,613188,9th,5,Never-married,Tech-support,Not-in-family,Other,Male,0,0,11,Germany,<=50K
25,Private,1429686,12th,8,Divorced,Prof-specialty,Other-relative,White,Male,0,0,83,England,<=50K
62,Private,1177192,Assoc-acdm,12,Widowed,Handlers-cleaners,Other-relative,Asian-Pac-Islander,Female,0,0,39,United-States,<=50K
28,Local-gov,1245959,Some-college,10,Married-civ-spouse,Sales,Unmarried,Other,Female,0,0,37,Philippines,>50K
56,State-gov,163329,11th,7,Never-married,Exec-managerial,Other-relative,Black,Male,0,0,99,England,<=50K
74,Private,1222456,Assoc-acdm,12,Never-married,Farming-fishing,Own-child,Other,Female,0,0,96,Philippines,<=50K
30,Private,576318,Some-college,10,Widowed,Sales,Not-in-family,Amer-Indian-Eskimo,Male,17249,2012,96,Germany,<=50K
57,Private,1198503,12th,8,Widowed,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,0,0,51,India,<=50K
85,Private,1469029,Bachelors,13,Married-civ-spouse,Prof-specialty,Own-child,Amer-Indian-Eskimo,Male,0,0,16,Cuba,<=50K
27,Private,820890,Assoc-voc,11,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0,0,62,Germany,<=50K
20,Private,545833,7th-8th,4,Widowed,Craft-repair,Unmarried,Other,Female,0,0,55,Puerto-Rico,<=50K
83,Private,643962,1st-4th,2,Separated,Handlers-cleaners,Own-child,Other,Female,0,0,38,Canada,<=50K
46,Private,397488,Some-college,10,Never-married,Transport-moving,Unmarried,Asian-Pac-Islander,Female,0,0,64,Philippines,<=50K
85,Private,437607,Some-college,10,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,0,0,57,Philippines,<=50K
66,Private,314780,10th,6,Married-civ-spouse,Prof-specialty,Own-child,Amer-Indian-Eskimo,Female,0,0,97,Cuba,>50K
58,Local-gov,950867,Prof-school,15,Divorced,Handlers-cleaners,Other-relative,Asian-Pac-Islander,Male,0,0,90,United-States,>50K
24,Self-emp-not-inc,1491546,Doctorate,16,Married-civ-spouse,Prof-specialty,Not-in-family,Black,Male,0,0,94,El-Salvador,<=50K
72,Private,1488658,Masters,14,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,India,<=50K
25,Federal-gov,1228063,7th-8th,4,Separated,Farming-fishing,Other-relative,Asian-Pac-Islander,Male,0,0,13,Puerto-Rico,>50K
66,Private,389898,1st-4th,2,Separated,Transport-moving,Not-in-family,Other,Female,0,0,48,Germany,<=50K
42,Private,1467636,5th-6th,3,Married-civ-spouse,Prof-specialty,Own-child,Black,Male,0,0,34,Puerto-Rico,<=50K
33,State-gov,1390396,HS-grad,9,Separated,Prof-specialty,Other-relative,Asian-Pac-Islander,Female,0,0,40,India,<=50K
41,State-gov,617225,1st-4th,2,Married-civ-spouse,Prof-specialty,Not-in-family,Black,Female,0,0,18,Cuba,<=50K
33,Local-gov,1417859,Some-college,10,Never-married,Tech-support,Unmarried,White,Male,0,0,15,Cuba,>50K
47,Private,413676,7th-8th,4,Divorced,Farming-fishing,Wife,Other,Female,0,0,88,Canada,<=50K
86,Private,1140750,Prof-school,15,Widowed,Exec-managerial,Wife,Asian-Pac-Islander,Female,0,0,70,England,<=50K
31,Private,1189089,10th,6,Widowed,Prof-specialty,Wife,Amer-Indian-Eskimo,Female,0,0,28,Germany,>50K
21,Self-emp-not-inc,1327582,Masters,14,Never-married,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Male,0,0,74,United-States,<=50K
89,Self-emp-inc,1300773,Assoc-voc,11,Divorced,Sales,Own-child,Amer-Indian-Eskimo,Male,89068,2137,83,Cuba,<=50K
85,Private,631327,Assoc-voc,11,Never-married,Craft-repair,Unmarried,Other,Male,0,0,58,England,<=50K
50,Private,12487,Masters,14,Divorced,Exec-managerial,Wife,Asian-Pac-Islander,Female,0,0,41,Germany,<=50K
36,Private,940353,10th,6,Never-married,Transport-moving,Other-relative,Amer-Indian-Eskimo,Female,0,0,69,El-Salvador,<=50K
67,State-gov,839938,10th,6,Divorced,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Female,0,0,58,Cuba,<=50K
78,State-gov,685521,Doctorate,16,Widowed,Tech-support,Other-relative,White,Female,0,0,73,United-States,<=50K
55,Private,1069551,9th,5,Divorced,Adm-clerical,Husband,Asian-Pac-Islander,Male,9112,3057,82,El-Salvador,<=50K
62,Private,428192,Masters,14,Divorced,Tech-support,Wife,White,Female,0,0,49,Germany,<=50K
20,Local-gov,780706,Masters,14,Divorced,Exec-managerial,Wife,Black,Female,0,0,95,India,<=50K
31,Local-gov,410145,Assoc-voc,11,Divorced,Tech-support,Unmarried,White,Female,0,0,39,England,<=50K
42,Private,86772,Assoc-voc,11,Divorced,Handlers-cleaners,Other-relative,Asian-Pac-Islander,Female,0,0,51,Germany,<=50K
60,Self-emp-inc,1295327,Assoc-voc,11,Widowed,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,0,0,50,India,>50K
47,Private,965322,5th-6th,3,Separated,Transport-moving,Wife,Amer-Indian-Eskimo,Female,0,0,23,England,<=50K
76,Self-emp-inc,886134,1st-4th,2,Never-married,Farming-fishing,Not-in-family,Asian-Pac-Islander,Female,0,0,82,United-States,<=50K
66,Private,184668,5th-6th,3,Separated,Tech-support,Not-in-family,Asian-Pac-Islander,Female,0,0,78,Germany,<=50K
25,Private,1350271,Masters,14,Divorced,Craft-repair,Other-relative,Black,Male,0,0,69,Philippines,<=50K
56,Private,1191650,Assoc-acdm,12,Divorced,Farming-fishing,Own-child,Black,Female,0,0,56,England,>50K
85,Private,969269,Prof-school,15,Widowed,Sales,Own-child,White,Male,0,0,54,Germany,>50K
22,Private,1324517,7th-8th,4,Widowed,Craft-repair,Not-in-family,Black,Female,11102,3687,68,Germany,<=50K
56,State-gov,315846,7th-8th,4,Separated,Adm-clerical,Unmarried,Black,Male,0,0,87,Canada,>50K
81,State-gov,900935,1st-4th,2,Never-married,Tech-support,Husband,Asian-Pac-Islander,Male,0,0,32,England,<=50K
69,Private,780689,12th,8,Separated,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Male,0,0,22,Germany,<=50K
